;debt;cpr;prc;notional
66;195580.59377564266;1742.5251730371408;2181.9791452148716;5651.68525735474
67;188172.89447522315;1676.526280938071;2102.4913830881587;5731.173019481453
68;180751.6816977383;1610.4069905238773;2022.8586156086487;5810.805786960963
69;173316.93079126114;1544.1670821582316;1943.0805782506868;5890.583824318925
70;165868.61705889343;1477.8063358041352;1863.1570060060574;5970.507396563554
71;158406.71575868374;1411.3245310231882;1783.0876333831045;6050.576769186507
72;150931.20210354513;1344.7214469748556;1702.8721944058502;6130.792208163761
73;143442.0512611729;1277.996862415735;1622.5104226131102;6211.153979956502
74;135939.23835396208;1211.1505556988207;1542.0020510576087;6291.662351512003
75;128422.7384589248;1144.1823047727685;1461.3468123050925;6372.317590264519
76;120892.52660760746;1077.0918871811577;1380.5444384334417;6453.11996413617
77;113348.57778600788;1009.8790800617519;1299.5946610317803;6534.069741537831
78;105790.86693449209;942.5436601457585;1218.4972111995849;6615.167191370027
79;98219.36894771119;875.0854037570878;1137.25181954579;6696.412583023821
80;90634.05867451787;807.5040868116092;1055.8582161878953;6777.8061863817165
81;83034.91091788292;739.7994848164076;974.3161307510671;6859.348271818544
82;75421.90043481151;671.9713728690366;892.6252923672415;6941.03911020237
83;67795.00193625936;604.0195256567728;810.7854296742238;7022.878972895388
84;60154.19008704867;535.943717455866;728.796270814788;7104.8681317548235
85;52499.439505784045;467.74372213079073;646.6575434357732;7187.006859133839
86;44830.72476476812;399.4193131334935;564.3689746871785;7269.295427882433
87;37148.020389917125;330.97026350264167;481.93029122125733;7351.734111348354
88;29451.300860676256;262.3963458628689;399.3412191916091;7434.323183378002
89;21740.540609934895;193.69733242401958;316.60148425226976;7517.062918317341
90;14015.714023941691;124.87299498039285;233.71081155680014;7599.953591012812
91;6276.79544221947;55.92310490998395;150.6689257573732;7682.995476812238
92;0.0;-1489.3934093462822;67.47555100385931;7766.188851565752
